RULENAME,IO_TIME,CPU_TIME,PLUGIN_NAME,RULE_SCORE
HAS_EXPANDED_ON_BODY,0,0.006,PCRE_REGEX,2
HAS_IMAGES_ON_BODY,0,0.006,PCRE_REGEX,1.3
HAS_NECESARILY_ON_BODY,0,0.006,PCRE_REGEX,1.3
HAS_OPORTUNIDAD_ON_BODY,0,0.006,PCRE_REGEX,1.18
HAS_VIDA_ON_BODY,0,0.006,PCRE_REGEX,1.18
HAS_CREEME_ON_BODY,0,0.006,PCRE_REGEX,1.14
HAS_RULETA_ON_BODY,0,0.006,PCRE_REGEX,1.14
HAS_DINERO_ON_BODY,0,0.006,PCRE_REGEX,1.14
HAS_GANAR_ON_BODY,0,0.006,PCRE_REGEX,1.12
HAS_ONLINE_ON_BODY,0,0.006,PCRE_REGEX,1.12
HAS_JUSTO_ON_BODY,0,0.006,PCRE_REGEX,1.1
HAS_CAMBIAR_ON_BODY,0,0.006,PCRE_REGEX,1.1
HAS_MILLONARIO_ON_BODY,0,0.006,PCRE_REGEX,1.1
HAS_BBVA_ON_BODY,0,0.006,PCRE_REGEX,1.1
HAS_FORMULARIO_ON_BODY,0,0.006,PCRE_REGEX,1.1
HAS_RECIPIENT_ON_BODY,0,0.006,PCRE_REGEX,1.08
HAS_SISTEMA_ON_BODY,0,0.006,PCRE_REGEX,1.08
HAS_NAME_ON_BODY,0,0.006,PCRE_REGEX,1.10
HAS_NETWORK_ON_BODY,0,0.006,PCRE_REGEX,1.6
HAS_CLIENTES_ON_BODY,0,0.006,PCRE_REGEX,1.05
HAS_FRAUD_ON_BODY,0,0.006,PCRE_REGEX,1.23
HAS_FUNDS_ON_BODY,0,0.006,PCRE_REGEX,1.04
HAS_GRATIS_ON_BODY,0,0.006,PCRE_REGEX,1.04
HAS_MONEY_ON_BODY,0,0.006,PCRE_REGEX,1.04
HAS_MENSAJE_ON_BODY,0,0.006,PCRE_REGEX,1.29
HAS_QUIERES_ON_BODY,0,0.006,PCRE_REGEX,1.04
HAS_NEWSLETTERS_ON_BODY,0,0.006,PCRE_REGEX,1.02
HAS_PROBABILIDADES_ON_BODY,0,0.006,PCRE_REGEX,1.04
HAS_EUROS_ON_BODY,0,0.006,PCRE_REGEX,1.04
HAS_SERVICIOS_ON_BODY,0,0.006,PCRE_REGEX,1.04
HAS_AVISO_ON_BODY,0,0.006,PCRE_REGEX,1.02
HAS_DIVISAS_ON_BODY,0,0.006,PCRE_REGEX,1.02
HAS_SUSPICIOUS_ON_BODY,0,0.006,PCRE_REGEX,1.02
HAS_AYUDAMOS_ON_BODY,0,0.006,PCRE_REGEX,1.02
HAS_OFFER_ON_BODY,0,0.006,PCRE_REGEX,1.02
HAS_WAITING_ON_BODY,0,0.006,PCRE_REGEX,1.02
HAS_HOGAR_ON_BODY,0,0.006,PCRE_REGEX,1.30
HAS_ACUERDO_ON_BODY,0,0.006,PCRE_REGEX,1.09
HAS_ADVERTENCIA_ON_BODY,0,0.006,PCRE_REGEX,1.02
HAS_ONLY_ON_BODY,0,0.006,PCRE_REGEX,1.09
HAS_INSURANCE_ON_BODY,0,0.006,PCRE_REGEX,1.10
HAS_MENCIONADA_ON_BODY,0,0.006,PCRE_REGEX,1.09
HAS_SITIO_ON_BODY,0,0.006,PCRE_REGEX,1.09
HAS_REPORT_ON_BODY,0,0.006,PCRE_REGEX,1.10
HAS_PERTENECEN_ON_BODY,0,0.006,PCRE_REGEX,1.09
